appearance_order,citation_key,citation_as_used,doi,verification_status,audit_note
11,Simpson2020,"M. J. Simpson, R. E. Baker, S. T. Vittadello, and O. J. Maclaren, ""Practical parameter identifiability for spatio-temporal models of cell invasion,"" Journal of the Royal Society Interface, vol. 17, no. 164, 20200055, 2020. doi:10.1098/rsif.2020.0055.",10.1098/rsif.2020.0055,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
12,Daher2026,"A. Daher, D. Trucu, and R. Eftimie, ""Calibrating tissue level PDE models of ligand dynamics using single cell and spatial transcriptomics data,"" npj Systems Biology and Applications, vol. 12, 44, 2026. doi:10.1038/s41540-026-00657-8.",10.1038/s41540-026-00657-8,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
13,MatasGil2024,"A. Matas-Gil and R. G. Endres, ""Unraveling biochemical spatial patterns: Machine learning approaches to the inverse problem of stationary Turing patterns,"" iScience, vol. 27, no. 6, 109822, 2024. doi:10.1016/j.isci.2024.109822.",10.1016/j.isci.2024.109822,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
14,Gu2026,"R. Gu, R. Z. Zhang, and C. E. Miles, ""Identifiability Limits of Physics-Informed Inference for Spatial Stochastic Dynamics from Static Snapshots,"" arXiv:2607.01749, 2026. doi:10.48550/arXiv.2607.01749.",10.48550/arXiv.2607.01749,Verified preprint record,arXiv/DataCite DOI; peer-review status not implied
15,Tallquist2017,"M. D. Tallquist and J. D. Molkentin, ""Redefining the identity of cardiac fibroblasts,"" Nature Reviews Cardiology, vol. 14, no. 8, pp. 484--491, 2017. doi:10.1038/nrcardio.2017.57.",10.1038/nrcardio.2017.57,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
16,Farbehi2019,"N. Farbehi, R. Patrick, A. Dorison, et al., ""Single-cell expression profiling reveals dynamic flux of cardiac stromal, vascular and immune cells in health and injury,"" eLife, vol. 8, e43882, 2019. doi:10.7554/eLife.43882.",10.7554/eLife.43882,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
17,Dobaczewski2010,"M. Dobaczewski, C. Gonzalez-Quesada, and N. G. Frangogiannis, ""The extracellular matrix as a modulator of the inflammatory and reparative response following myocardial infarction,"" Journal of Molecular and Cellular Cardiology, vol. 48, no. 3, pp. 504--511, 2010. doi:10.1016/j.yjmcc.2009.07.015.",10.1016/j.yjmcc.2009.07.015,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
18,Frangogiannis2019,"N. G. Frangogiannis, ""Cardiac fibrosis: Cell biological mechanisms, molecular pathways and therapeutic opportunities,"" Molecular Aspects of Medicine, vol. 65, pp. 70--99, 2019. doi:10.1016/j.mam.2018.07.001.",10.1016/j.mam.2018.07.001,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
19,RuizVillalba2020,"A. Ruiz-Villalba, J. P. Romero, S. C. Hernández, et al., ""Single-Cell RNA Sequencing Analysis Reveals a Crucial Role for CTHRC1 (Collagen Triple Helix Repeat Containing 1) Cardiac Fibroblasts After Myocardial Infarction,"" Circulation, vol. 142, no. 19, pp. 1831--1847, 2020. doi:10.1161/CIRCULATIONAHA.119.044557.",10.1161/CIRCULATIONAHA.119.044557,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
20,Chothani2019,"S. Chothani, S. Schäfer, E. Adami, et al., ""Widespread Translational Control of Fibrosis in the Human Heart by RNA-Binding Proteins,"" Circulation, vol. 140, no. 11, pp. 937--951, 2019. doi:10.1161/CIRCULATIONAHA.119.039596.",10.1161/CIRCULATIONAHA.119.039596,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
21,Kuppe2022,"C. Kuppe, R. O. Ramirez Flores, Z. Li, et al., ""Spatial multi-omic map of human myocardial infarction,"" Nature, vol. 608, no. 7924, pp. 766--777, 2022. doi:10.1038/s41586-022-05060-x.",10.1038/s41586-022-05060-x,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
22,Schafer2017,"S. Schäfer, S. Viswanathan, A. A. Widjaja, et al., ""IL-11 is a crucial determinant of cardiovascular fibrosis,"" Nature, vol. 552, no. 7683, pp. 110--115, 2017. doi:10.1038/nature24676.",10.1038/nature24676,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
23,Nauffal2023,"V. Nauffal, P. Di Achille, M. D. R. Klarqvist, et al., ""Genetics of myocardial interstitial fibrosis in the human heart and association with disease,"" Nature Genetics, vol. 55, no. 5, pp. 777--786, 2023. doi:10.1038/s41588-023-01371-5.",10.1038/s41588-023-01371-5,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
24,Hernandez2026,"S. C. Hernández, M. Ainciburu, L. Sudupe, et al., ""Single-cell and spatial transcriptomic profiling of cardiac fibroblasts following myocardial infarction,"" Scientific Data, vol. 13, 216, 2026. doi:10.1038/s41597-025-06533-0.",10.1038/s41597-025-06533-0,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
25,Stahl2016,"P. L. Ståhl, F. Salmén, S. Vickovic, et al., ""Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,"" Science, vol. 353, no. 6294, pp. 78--82, 2016. doi:10.1126/science.aaf2403.",10.1126/science.aaf2403,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
26,Gao2021,"Q.-Y. Gao, H.-F. Zhang, Z.-T. Chen, Y.-W. Li, S.-H. Wang, Z.-Z. Wen, Y. Xie, J.-T. Mai, J.-F. Wang, and Y.-X. Chen, ""Construction and Analysis of a ceRNA Network in Cardiac Fibroblast During Fibrosis Based on in vivo and in vitro Data,"" Frontiers in Genetics, vol. 11, 503256, 2021. doi:10.3389/fgene.2020.503256.",10.3389/fgene.2020.503256,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
27,Colak2009,"D. Colak, N. Kaya, J. Al-Zahrani, A. Al Bakheet, P. Muiya, E. Andres, et al., ""Left ventricular global transcriptional profiling in human end-stage dilated cardiomyopathy,"" Genomics, vol. 94, no. 1, pp. 20--31, 2009. doi:10.1016/j.ygeno.2009.03.003.",10.1016/j.ygeno.2009.03.003,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
28,Colak2016,"D. Colak, A. A. Alaiya, N. Kaya, N. P. Muiya, O. AlHarazi, Z. Shinwari, E. Andres, and N. Dzimiri, ""Integrated Left Ventricular Global Transcriptome and Proteome Profiling in Human End-Stage Dilated Cardiomyopathy,"" PLoS ONE, vol. 11, no. 10, e0162669, 2016. doi:10.1371/journal.pone.0162669.",10.1371/journal.pone.0162669,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
29,Wang2023,"D. Wang, Y. Zhang, T. Ye, et al., “Cthrc1 deficiency aggravates wound healing and promotes cardiac rupture after myocardial infarction via non-canonical WNT5A signaling pathway,” International Journal of Biological Sciences, vol. 19, no. 4, pp. 1299–1315, 2023. doi:10.7150/ijbs.79260.",10.7150/ijbs.79260,Verified,Bibliographic identity and DOI checked against PubMed and the journal record on 2026-09-06.
30,Hong2023,"H. Hong, M. J. Cortez, Y. Y. Cheng, et al., ""Inferring delays in partially observed gene regulation processes,"" Bioinformatics, vol. 39, no. 11, btad670, 2023. doi:10.1093/bioinformatics/btad670.",10.1093/bioinformatics/btad670,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
31,SelfLiang1987,"S. G. Self and K.-Y. Liang, ""Asymptotic Properties of Maximum Likelihood Estimators and Likelihood Ratio Tests under Nonstandard Conditions,"" Journal of the American Statistical Association, vol. 82, no. 398, pp. 605--610, 1987. doi:10.1080/01621459.1987.10478472.",10.1080/01621459.1987.10478472,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
